,usaf,name,state,lat,lon
734,720596,NEWBERRY COUNTY AIRPORT,SC,34.3,-81.633
735,720597,LAURENS COUNTY AIRPORT,SC,34.5,-81.95
736,720598,BERKELEY COUNTY AIRPORT,SC,33.183,-80.033
737,720599,CHESTER CATAWBA REGIONAL AIRP,SC,34.783,-81.2
738,720603,WOODWARD FIELD AIRPORT,SC,34.283,-80.567
739,720604,WILLIAMSBURG REGIONAL AIRPORT,SC,33.717,-79.85
740,720607,LANCASTER COUNTY MC WHIRTER F,SC,34.717,-80.85
741,720608,MARION COUNTY AIRPORT,SC,34.181,-79.335
742,720576,UNIVERSITY AIRPORT,CA,38.533,-121.783
743,720405,BLAIR MUNICIPAL AIRPORT,NE,41.412,-96.109
744,720411,ANGEL FIRE AIRPORT,NM,36.422,-105.29
745,720412,PERRY MUNICIPAL AIRPORT,IA,41.828,-94.16
746,720448,STUART POWELL FIELD AIRPORT,KY,37.578,-84.77
